ROWID,Country,State lgd code,State,District lgd code,District,YearCode,Year,Reported land area ,Forest land area,Land area under non-agricultural uses,Barren and unculturable land area,Permanent pasture and other grazing land area,Land under miscellaneous Tree Crops and Groves not included in Net Area Sown,Culturable waste land area,Fallow lands other than current fallow lands,Current Fallow land area,Net sown land area,Cropped land area,Land area sown more than once
1,India,1,Jammu And Kashmir,1,Anantnag,2011,"Agriculture Year (Jul - Jun), 2011",72149,288,5878,6604,6905,2093,2520,0,0,47861,71432,23571
2,India,1,Jammu And Kashmir,1,Anantnag,2012,"Agriculture Year (Jul - Jun), 2012",72149,253,5878,6129,6905,2093,2768,262,0,47861,71432,23571
3,India,1,Jammu And Kashmir,1,Anantnag,2013,"Agriculture Year (Jul - Jun), 2013",72149,253,5878,6129,6905,2093,2768,262,0,47861,71520,23659
4,India,1,Jammu And Kashmir,1,Anantnag,2014,"Agriculture Year (Jul - Jun), 2014",72149,253,5878,6129,6983,2020,2768,287,602,47229,70955,23726
5,India,1,Jammu And Kashmir,1,Anantnag,2015,"Agriculture Year (Jul - Jun), 2015",72149,253,5878,6129,6983,2092,3049,2460,9882,35423,58830,23407
6,India,1,Jammu And Kashmir,1,Anantnag,2016,"Agriculture Year (Jul - Jun), 2016",72199,247,5878,6129,6983,2075,3049,0,1228,46610,70300,23690
7,India,1,Jammu And Kashmir,1,Anantnag,2017,"Agriculture Year (Jul - Jun), 2017",72199,197,5878,6129,6983,2075,3252,369,1330,45986,69241,23255
8,India,1,Jammu And Kashmir,1,Anantnag,2018,"Agriculture Year (Jul - Jun), 2018",73321,167,5878,7029,6275,2045,4592,373,2193,44769,68012,23243
9,India,1,Jammu And Kashmir,1,Anantnag,2019,"Agriculture Year (Jul - Jun), 2019",72199,167,5878,6239,6218,1915,4592,371,1527,45292,67297,22005
10,India,1,Jammu And Kashmir,2,Budgam,2011,"Agriculture Year (Jul - Jun), 2011",77829,721,6012,3590,8828,2519,3276,2156,9185,41542,52890,11348
11,India,1,Jammu And Kashmir,2,Budgam,2012,"Agriculture Year (Jul - Jun), 2012",77827,711,5344,3966,5237,3299,7494,2433,5655,43688,55734,12046
12,India,1,Jammu And Kashmir,2,Budgam,2013,"Agriculture Year (Jul - Jun), 2013",77827,711,5344,3966,5237,3299,7494,2402,7110,42264,55337,13073
13,India,1,Jammu And Kashmir,2,Budgam,2014,"Agriculture Year (Jul - Jun), 2014",77827,711,5384,3524,5237,3299,6494,89,0,53089,66164,13075
14,India,1,Jammu And Kashmir,2,Budgam,2015,"Agriculture Year (Jul - Jun), 2015",77827,711,5384,3524,5237,1772,2499,0,0,58700,71407,12707
15,India,1,Jammu And Kashmir,2,Budgam,2016,"Agriculture Year (Jul - Jun), 2016",77807,711,6574,3539,4885,946,4142,2046,13148,41816,54139,12323
16,India,1,Jammu And Kashmir,2,Budgam,2017,"Agriculture Year (Jul - Jun), 2017",77807,699,6554,3508,4876,946,4146,2033,14888,40157,54042,13885
17,India,1,Jammu And Kashmir,2,Budgam,2018,"Agriculture Year (Jul - Jun), 2018",76079,588,5474,4630,4850,930,4146,2033,7724,45704,60066,14362
18,India,1,Jammu And Kashmir,2,Budgam,2019,"Agriculture Year (Jul - Jun), 2019",77807,588,5721,4629,4900,932,4234,2033,11116,43654,58318,14664
19,India,1,Jammu And Kashmir,3,Baramulla,2011,"Agriculture Year (Jul - Jun), 2011",109470,1054,17339,4300,3872,759,12177,439,4979,64551,65711,1160
20,India,1,Jammu And Kashmir,3,Baramulla,2012,"Agriculture Year (Jul - Jun), 2012",109470,1054,17339,4300,3872,759,11208,439,5947,64552,65734,1182
21,India,1,Jammu And Kashmir,3,Baramulla,2013,"Agriculture Year (Jul - Jun), 2013",109470,1054,17339,4300,3872,759,11208,419,6108,64411,65593,1182
22,India,1,Jammu And Kashmir,3,Baramulla,2014,"Agriculture Year (Jul - Jun), 2014",109470,1024,17318,4300,3872,867,11241,422,7981,62445,63549,1104
23,India,1,Jammu And Kashmir,3,Baramulla,2015,"Agriculture Year (Jul - Jun), 2015",109515,1024,17318,4300,3872,867,11241,316,6021,64556,65723,1167
24,India,1,Jammu And Kashmir,3,Baramulla,2016,"Agriculture Year (Jul - Jun), 2016",109271,1074,20036,5422,3872,363,11893,252,1816,64543,65648,1105
25,India,1,Jammu And Kashmir,3,Baramulla,2017,"Agriculture Year (Jul - Jun), 2017",109271,1123,20036,5422,3872,361,11960,368,1299,64830,65162,332
26,India,1,Jammu And Kashmir,3,Baramulla,2018,"Agriculture Year (Jul - Jun), 2018",107237,1231,15034,6774,4823,490,11903,368,1797,64817,65798,981
27,India,1,Jammu And Kashmir,3,Baramulla,2019,"Agriculture Year (Jul - Jun), 2019",109271,1231,7088,14720,4823,490,11903,368,3814,64834,65991,1157
28,India,1,Jammu And Kashmir,4,Doda,2011,"Agriculture Year (Jul - Jun), 2011",187797,100209,15201,15070,2232,5368,8310,199,10514,30694,39712,9018
29,India,1,Jammu And Kashmir,4,Doda,2012,"Agriculture Year (Jul - Jun), 2012",187797,100209,15201,15070,2232,5368,8310,199,10627,30581,39534,8953
30,India,1,Jammu And Kashmir,4,Doda,2013,"Agriculture Year (Jul - Jun), 2013",187797,100209,15201,15070,2232,5368,8310,227,10561,30619,39622,9003
31,India,1,Jammu And Kashmir,4,Doda,2014,"Agriculture Year (Jul - Jun), 2014",187797,100209,15447,15070,2131,5368,8310,779,10051,30432,39143,8711
32,India,1,Jammu And Kashmir,4,Doda,2015,"Agriculture Year (Jul - Jun), 2015",187797,100209,15447,15070,2131,5368,8310,693,11532,29037,36837,7800
33,India,1,Jammu And Kashmir,4,Doda,2016,"Agriculture Year (Jul - Jun), 2016",187622,100103,13942,15070,2131,5368,8310,779,12071,29848,49791,19943
34,India,1,Jammu And Kashmir,4,Doda,2017,"Agriculture Year (Jul - Jun), 2017",187622,99788,13977,15070,1903,5368,8310,779,12824,29603,38248,8645
35,India,1,Jammu And Kashmir,4,Doda,2018,"Agriculture Year (Jul - Jun), 2018",187622,99788,13912,15070,1903,5368,8310,1151,18943,23177,31453,8276
36,India,1,Jammu And Kashmir,4,Doda,2019,"Agriculture Year (Jul - Jun), 2019",187797,99788,13976,19063,1813,5368,10194,1151,7074,29370,37299,7929
37,India,1,Jammu And Kashmir,5,Jammu,2011,"Agriculture Year (Jul - Jun), 2011",237024,29793,31165,44173,6335,7728,17925,821,8411,90673,185837,95164
38,India,1,Jammu And Kashmir,5,Jammu,2012,"Agriculture Year (Jul - Jun), 2012",237024,29793,41165,34173,4150,7728,11547,822,16551,91095,187717,96622
39,India,1,Jammu And Kashmir,5,Jammu,2013,"Agriculture Year (Jul - Jun), 2013",237024,29793,41165,34173,4150,7728,11547,723,13981,93764,190266,96502
40,India,1,Jammu And Kashmir,5,Jammu,2014,"Agriculture Year (Jul - Jun), 2014",237024,29793,41165,34256,4152,6349,11844,851,16575,92039,209733,117694
41,India,1,Jammu And Kashmir,5,Jammu,2015,"Agriculture Year (Jul - Jun), 2015",237024,29793,41165,34256,4152,6349,11844,808,5291,103366,192821,89455
42,India,1,Jammu And Kashmir,5,Jammu,2016,"Agriculture Year (Jul - Jun), 2016",237831,29912,41206,34256,3736,1936,15797,682,3508,106798,196241,89443
43,India,1,Jammu And Kashmir,5,Jammu,2017,"Agriculture Year (Jul - Jun), 2017",237831,30112,41206,34256,2763,1713,15739,851,11557,99634,189478,89844
321,India,3,Punjab,30,Fatehgarh Sahib,2016,"Agriculture Year (Jul - Jun), 2016",114778,1062,11440,241,7,0,0,0,0,102028,191101,89073
44,India,1,Jammu And Kashmir,5,Jammu,2018,"Agriculture Year (Jul - Jun), 2018",237831,34233,41206,34256,2763,1713,15739,851,7132,99938,189488,89550
45,India,1,Jammu And Kashmir,5,Jammu,2019,"Agriculture Year (Jul - Jun), 2019",237024,34233,41206,34256,2864,1713,15739,851,16711,89451,153012,63561
46,India,1,Jammu And Kashmir,7,Kathua,2011,"Agriculture Year (Jul - Jun), 2011",264729,72732,46145,33862,10881,14270,7936,255,14737,63911,126023,62112
47,India,1,Jammu And Kashmir,7,Kathua,2012,"Agriculture Year (Jul - Jun), 2012",264729,72732,46145,33862,10881,10274,7936,231,22125,60543,122575,62032
48,India,1,Jammu And Kashmir,7,Kathua,2013,"Agriculture Year (Jul - Jun), 2013",264729,72732,46145,33862,10881,10274,7936,326,21287,61286,122883,61597
49,India,1,Jammu And Kashmir,7,Kathua,2014,"Agriculture Year (Jul - Jun), 2014",264729,72732,46145,33862,10881,10274,8952,272,19949,61662,123208,61546
50,India,1,Jammu And Kashmir,7,Kathua,2015,"Agriculture Year (Jul - Jun), 2015",264729,72732,46145,33862,10881,10274,8952,990,22194,58699,119155,60456
51,India,1,Jammu And Kashmir,7,Kathua,2016,"Agriculture Year (Jul - Jun), 2016",264626,72613,46145,32298,9387,18037,8950,6722,11677,58797,117008,58211
52,India,1,Jammu And Kashmir,7,Kathua,2017,"Agriculture Year (Jul - Jun), 2017",264626,72413,46145,32298,8386,18338,8950,8608,7974,61514,121316,59802
53,India,1,Jammu And Kashmir,7,Kathua,2018,"Agriculture Year (Jul - Jun), 2018",264626,71907,45888,32298,8192,20399,15388,6645,9736,54173,113194,59021
54,India,1,Jammu And Kashmir,7,Kathua,2019,"Agriculture Year (Jul - Jun), 2019",264626,71903,35675,28463,8082,19981,16328,7905,9644,66645,117479,50834
55,India,1,Jammu And Kashmir,8,Kupwara,2011,"Agriculture Year (Jul - Jun), 2011",66594,340,5166,3338,5191,189,2575,1677,2584,45534,45534,0
56,India,1,Jammu And Kashmir,8,Kupwara,2012,"Agriculture Year (Jul - Jun), 2012",66574,340,5166,3883,1949,255,2575,1677,1148,49581,49581,0
57,India,1,Jammu And Kashmir,8,Kupwara,2013,"Agriculture Year (Jul - Jun), 2013",66574,340,5166,3883,1949,255,2575,2652,4220,45534,45534,0
58,India,1,Jammu And Kashmir,8,Kupwara,2014,"Agriculture Year (Jul - Jun), 2014",66593,340,5186,3882,1949,255,2575,2652,4220,45534,45534,0
59,India,1,Jammu And Kashmir,8,Kupwara,2015,"Agriculture Year (Jul - Jun), 2015",66593,340,5186,3882,1949,255,2575,2672,4016,45718,45718,0
60,India,1,Jammu And Kashmir,8,Kupwara,2016,"Agriculture Year (Jul - Jun), 2016",66593,329,3611,5874,1961,211,3634,2672,2663,45638,45638,0
61,India,1,Jammu And Kashmir,8,Kupwara,2017,"Agriculture Year (Jul - Jun), 2017",66591,318,3611,5974,963,192,4934,2672,3233,44694,44694,0
62,India,1,Jammu And Kashmir,8,Kupwara,2018,"Agriculture Year (Jul - Jun), 2018",66620,249,4508,6974,964,201,5925,306,3386,44107,44107,0
63,India,1,Jammu And Kashmir,8,Kupwara,2019,"Agriculture Year (Jul - Jun), 2019",66593,249,4508,7900,964,201,6403,178,204,45986,45986,0
64,India,1,Jammu And Kashmir,10,Poonch,2011,"Agriculture Year (Jul - Jun), 2011",114381,34050,8487,18276,18512,2,7268,96,44,27646,46394,18748
65,India,1,Jammu And Kashmir,10,Poonch,2012,"Agriculture Year (Jul - Jun), 2012",114381,34050,8487,18276,18561,2,7257,96,35,27617,45317,17700
66,India,1,Jammu And Kashmir,10,Poonch,2013,"Agriculture Year (Jul - Jun), 2013",114381,34050,8487,18276,18561,2,7257,0,61,27687,46470,18783
67,India,1,Jammu And Kashmir,10,Poonch,2014,"Agriculture Year (Jul - Jun), 2014",115007,34050,8864,18283,18561,2,7781,92,60,27314,45130,17816
68,India,1,Jammu And Kashmir,10,Poonch,2015,"Agriculture Year (Jul - Jun), 2015",115007,34050,8864,18283,18561,2,7781,89,185,27192,45011,17819
69,India,1,Jammu And Kashmir,10,Poonch,2016,"Agriculture Year (Jul - Jun), 2016",115007,34050,8864,18050,18578,2,7779,92,256,27336,44754,17418
70,India,1,Jammu And Kashmir,10,Poonch,2017,"Agriculture Year (Jul - Jun), 2017",115007,34050,8864,18085,18561,2,7776,92,360,27217,45116,17899
71,India,1,Jammu And Kashmir,10,Poonch,2018,"Agriculture Year (Jul - Jun), 2018",115007,34050,8864,18085,18561,2,7776,93,1381,26195,44963,18768
72,India,1,Jammu And Kashmir,10,Poonch,2019,"Agriculture Year (Jul - Jun), 2019",114381,34115,6124,20800,18529,2,7779,258,77,26697,45985,19288
73,India,1,Jammu And Kashmir,11,Pulwama,2011,"Agriculture Year (Jul - Jun), 2011",60772,412,8387,2542,5953,1102,3617,171,5859,32729,57628,24899
74,India,1,Jammu And Kashmir,11,Pulwama,2012,"Agriculture Year (Jul - Jun), 2012",60772,412,8387,2542,5953,1102,3617,171,5891,32697,57564,24867
75,India,1,Jammu And Kashmir,11,Pulwama,2013,"Agriculture Year (Jul - Jun), 2013",60772,412,8387,2542,5953,1102,3617,256,6212,32291,57135,24844
76,India,1,Jammu And Kashmir,11,Pulwama,2014,"Agriculture Year (Jul - Jun), 2014",60772,320,8387,2542,5953,1102,3617,191,6368,32292,56687,24395
77,India,1,Jammu And Kashmir,11,Pulwama,2015,"Agriculture Year (Jul - Jun), 2015",60772,320,8387,2542,5953,1102,3617,158,6033,32660,55870,23210
78,India,1,Jammu And Kashmir,11,Pulwama,2016,"Agriculture Year (Jul - Jun), 2016",60912,320,8387,2542,5953,1102,3617,171,4162,34658,58023,23365
79,India,1,Jammu And Kashmir,11,Pulwama,2017,"Agriculture Year (Jul - Jun), 2017",60912,320,9111,2755,5953,1532,3550,251,4957,32483,54765,22282
80,India,1,Jammu And Kashmir,11,Pulwama,2018,"Agriculture Year (Jul - Jun), 2018",66507,320,9289,2630,5953,1911,3566,229,9620,32989,55331,22342
81,India,1,Jammu And Kashmir,11,Pulwama,2019,"Agriculture Year (Jul - Jun), 2019",60912,320,8734,2801,5953,1929,3727,200,4532,32716,54046,21330
82,India,1,Jammu And Kashmir,12,Rajouri,2011,"Agriculture Year (Jul - Jun), 2011",253340,94353,32665,35624,20410,1006,14751,282,934,53315,100435,47120
83,India,1,Jammu And Kashmir,12,Rajouri,2012,"Agriculture Year (Jul - Jun), 2012",253341,94353,32665,35625,20410,1006,14751,281,1168,53082,99161,46079
84,India,1,Jammu And Kashmir,12,Rajouri,2013,"Agriculture Year (Jul - Jun), 2013",253341,94353,32665,35625,20410,1006,14751,281,919,53331,100368,47037
85,India,1,Jammu And Kashmir,12,Rajouri,2014,"Agriculture Year (Jul - Jun), 2014",253341,94353,32665,35625,20410,1006,14757,276,419,53830,103387,49557
86,India,1,Jammu And Kashmir,12,Rajouri,2015,"Agriculture Year (Jul - Jun), 2015",253341,94353,32665,35625,20410,1006,14757,142,903,53480,100654,47174
87,India,1,Jammu And Kashmir,12,Rajouri,2016,"Agriculture Year (Jul - Jun), 2016",253341,94853,32665,35624,20410,1006,14757,0,394,53632,101543,47911
88,India,1,Jammu And Kashmir,12,Rajouri,2017,"Agriculture Year (Jul - Jun), 2017",253340,94931,32365,34692,20410,1006,14834,249,911,53942,102517,48575
89,India,1,Jammu And Kashmir,12,Rajouri,2018,"Agriculture Year (Jul - Jun), 2018",253341,95931,32365,35148,17789,1006,14846,236,4025,51995,101121,49126
90,India,1,Jammu And Kashmir,12,Rajouri,2019,"Agriculture Year (Jul - Jun), 2019",253341,95931,32365,35148,17789,1006,14846,236,2305,53715,101449,47734
91,India,1,Jammu And Kashmir,13,Srinagar,2011,"Agriculture Year (Jul - Jun), 2011",11703,700,2027,595,57,8,0,0,0,8316,10234,1918
92,India,1,Jammu And Kashmir,13,Srinagar,2012,"Agriculture Year (Jul - Jun), 2012",11703,700,2027,595,57,8,0,0,0,8316,10230,1914
93,India,1,Jammu And Kashmir,13,Srinagar,2013,"Agriculture Year (Jul - Jun), 2013",11703,700,2027,595,57,8,0,0,3,8313,10801,2488
94,India,1,Jammu And Kashmir,13,Srinagar,2014,"Agriculture Year (Jul - Jun), 2014",11703,700,1871,595,57,8,0,3,0,8469,10792,2323
95,India,1,Jammu And Kashmir,13,Srinagar,2015,"Agriculture Year (Jul - Jun), 2015",11703,700,1871,595,57,28,54,930,1558,5910,8199,2289
96,India,1,Jammu And Kashmir,13,Srinagar,2016,"Agriculture Year (Jul - Jun), 2016",11703,700,1871,595,57,28,54,930,1527,5941,8230,2289
97,India,1,Jammu And Kashmir,13,Srinagar,2017,"Agriculture Year (Jul - Jun), 2017",11703,700,1871,595,57,28,54,930,1528,5940,8229,2289
98,India,1,Jammu And Kashmir,13,Srinagar,2018,"Agriculture Year (Jul - Jun), 2018",11983,700,2175,595,57,28,54,930,1500,5944,8233,2289
99,India,1,Jammu And Kashmir,13,Srinagar,2019,"Agriculture Year (Jul - Jun), 2019",11703,700,2175,595,57,28,54,930,1627,5537,7826,2289
100,India,1,Jammu And Kashmir,14,Udhampur,2011,"Agriculture Year (Jul - Jun), 2011",279310,124276,27968,41951,3728,4234,14065,288,16966,45834,82549,36715
101,India,1,Jammu And Kashmir,14,Udhampur,2012,"Agriculture Year (Jul - Jun), 2012",279310,124276,24690,43700,5572,9576,14106,243,12516,44631,82135,37504
102,India,1,Jammu And Kashmir,14,Udhampur,2013,"Agriculture Year (Jul - Jun), 2013",279310,124276,24690,43700,5572,9576,14106,320,12391,44679,81493,36814
103,India,1,Jammu And Kashmir,14,Udhampur,2014,"Agriculture Year (Jul - Jun), 2014",279310,124276,24753,43666,5572,3392,22877,297,7826,46651,81478,34827
104,India,1,Jammu And Kashmir,14,Udhampur,2015,"Agriculture Year (Jul - Jun), 2015",279310,124276,24753,43666,5572,3392,22877,281,10937,43556,83432,39876
105,India,1,Jammu And Kashmir,14,Udhampur,2016,"Agriculture Year (Jul - Jun), 2016",279310,124236,22959,43666,6489,3313,22877,163,6722,48885,92765,43880
106,India,1,Jammu And Kashmir,14,Udhampur,2017,"Agriculture Year (Jul - Jun), 2017",279310,124206,22959,43666,7489,5113,20072,198,6722,48885,94784,45899
107,India,1,Jammu And Kashmir,14,Udhampur,2018,"Agriculture Year (Jul - Jun), 2018",279310,104206,22959,42658,7489,5113,27003,14555,17340,37987,81238,43251
108,India,1,Jammu And Kashmir,14,Udhampur,2019,"Agriculture Year (Jul - Jun), 2019",279310,104206,24452,42658,7489,5113,27003,14555,13093,40741,84618,43877
109,India,1,Jammu And Kashmir,620,Kishtwar,2011,"Agriculture Year (Jul - Jun), 2011",109434,58394,7569,9576,2235,7407,5791,175,777,17510,21766,4256
110,India,1,Jammu And Kashmir,620,Kishtwar,2012,"Agriculture Year (Jul - Jun), 2012",109434,58394,7569,9576,2199,7405,5797,189,802,17503,23465,5962
111,India,1,Jammu And Kashmir,620,Kishtwar,2013,"Agriculture Year (Jul - Jun), 2013",109434,58394,7569,9576,2199,7405,5797,189,831,17474,22706,5232
112,India,1,Jammu And Kashmir,620,Kishtwar,2014,"Agriculture Year (Jul - Jun), 2014",109434,58394,7611,9598,3939,6605,4914,143,541,17689,21671,3982
113,India,1,Jammu And Kashmir,620,Kishtwar,2015,"Agriculture Year (Jul - Jun), 2015",109434,58394,7611,9598,3939,6605,4914,102,476,17795,21334,3539
114,India,1,Jammu And Kashmir,620,Kishtwar,2016,"Agriculture Year (Jul - Jun), 2016",109756,58894,6181,12842,3818,6605,4914,143,315,16044,20027,3983
115,India,1,Jammu And Kashmir,620,Kishtwar,2017,"Agriculture Year (Jul - Jun), 2017",109756,58904,6181,12943,3818,6605,4914,143,0,16248,20214,3966
116,India,1,Jammu And Kashmir,620,Kishtwar,2018,"Agriculture Year (Jul - Jun), 2018",109756,58904,6181,13843,3818,7605,6918,143,216,12128,15123,2995
117,India,1,Jammu And Kashmir,620,Kishtwar,2019,"Agriculture Year (Jul - Jun), 2019",109434,58904,6181,13843,3818,4532,6342,0,0,15814,20165,4351
118,India,1,Jammu And Kashmir,621,Ramban,2011,"Agriculture Year (Jul - Jun), 2011",113787,60717,12998,11066,3399,2533,4609,42,0,18423,24847,6424
119,India,1,Jammu And Kashmir,621,Ramban,2012,"Agriculture Year (Jul - Jun), 2012",113787,60717,12998,11309,3023,2533,4609,42,133,18423,24943,6520
120,India,1,Jammu And Kashmir,621,Ramban,2013,"Agriculture Year (Jul - Jun), 2013",113787,60717,12998,11309,3023,2533,4609,1956,1290,15352,21872,6520
121,India,1,Jammu And Kashmir,621,Ramban,2014,"Agriculture Year (Jul - Jun), 2014",113787,60717,13398,11309,2370,2983,3815,0,0,19195,25391,6196
122,India,1,Jammu And Kashmir,621,Ramban,2015,"Agriculture Year (Jul - Jun), 2015",113787,60717,13398,11309,2370,2983,3024,0,0,19986,25933,5947
123,India,1,Jammu And Kashmir,621,Ramban,2016,"Agriculture Year (Jul - Jun), 2016",113799,60717,13907,10837,2374,2303,2800,32,868,19961,25396,5435
124,India,1,Jammu And Kashmir,621,Ramban,2017,"Agriculture Year (Jul - Jun), 2017",113799,60813,13907,10837,2394,2564,2963,33,711,19577,24796,5219
125,India,1,Jammu And Kashmir,621,Ramban,2018,"Agriculture Year (Jul - Jun), 2018",113799,60813,13040,11499,2613,3102,2806,33,4584,15309,20342,5033
126,India,1,Jammu And Kashmir,621,Ramban,2019,"Agriculture Year (Jul - Jun), 2019",113787,60813,9093,11499,2594,3021,3810,33,3276,19648,24683,5035
127,India,1,Jammu And Kashmir,622,Kulgam,2011,"Agriculture Year (Jul - Jun), 2011",47642,190,3265,2226,2766,495,2779,87,5155,30679,39340,8661
128,India,1,Jammu And Kashmir,622,Kulgam,2012,"Agriculture Year (Jul - Jun), 2012",47642,190,3265,2210,2766,798,2808,87,4839,30679,39312,8633
129,India,1,Jammu And Kashmir,622,Kulgam,2013,"Agriculture Year (Jul - Jun), 2013",47642,190,3265,2210,2766,798,2808,89,4836,30680,39313,8633
130,India,1,Jammu And Kashmir,622,Kulgam,2014,"Agriculture Year (Jul - Jun), 2014",47642,190,4005,1710,2230,826,1849,120,5756,30956,42627,11671
131,India,1,Jammu And Kashmir,622,Kulgam,2015,"Agriculture Year (Jul - Jun), 2015",47642,190,4005,1710,2230,826,1849,226,7323,29283,40597,11314
132,India,1,Jammu And Kashmir,622,Kulgam,2016,"Agriculture Year (Jul - Jun), 2016",47612,181,4005,1710,2230,867,2334,507,6528,29250,40695,11445
133,India,1,Jammu And Kashmir,622,Kulgam,2017,"Agriculture Year (Jul - Jun), 2017",47612,147,4005,1710,2230,867,2293,507,4896,30957,42271,11314
134,India,1,Jammu And Kashmir,622,Kulgam,2018,"Agriculture Year (Jul - Jun), 2018",42735,147,4005,1710,2230,867,2334,507,1682,29253,40550,11297
135,India,1,Jammu And Kashmir,622,Kulgam,2019,"Agriculture Year (Jul - Jun), 2019",47612,147,4005,1710,2230,867,2334,1507,5546,29266,40458,11192
136,India,1,Jammu And Kashmir,623,Bandipora,2011,"Agriculture Year (Jul - Jun), 2011",34280,330,3827,2278,3403,79,1714,1185,768,20696,24076,3380
137,India,1,Jammu And Kashmir,623,Bandipora,2012,"Agriculture Year (Jul - Jun), 2012",34368,330,3900,2278,3403,79,1714,1189,1167,20308,24017,3709
138,India,1,Jammu And Kashmir,623,Bandipora,2013,"Agriculture Year (Jul - Jun), 2013",34368,330,3900,2278,3403,79,1714,1189,1166,20309,23828,3519
139,India,1,Jammu And Kashmir,623,Bandipora,2014,"Agriculture Year (Jul - Jun), 2014",34368,330,3900,2278,3403,79,1714,1189,1167,20308,23887,3579
140,India,1,Jammu And Kashmir,623,Bandipora,2015,"Agriculture Year (Jul - Jun), 2015",34323,330,3900,2278,1711,28,719,0,0,25357,28977,3620
141,India,1,Jammu And Kashmir,623,Bandipora,2016,"Agriculture Year (Jul - Jun), 2016",34368,344,1323,4431,2772,79,719,0,483,24217,27769,3552
142,India,1,Jammu And Kashmir,623,Bandipora,2017,"Agriculture Year (Jul - Jun), 2017",34368,340,1323,4326,1975,79,319,0,0,26006,29624,3618
143,India,1,Jammu And Kashmir,623,Bandipora,2018,"Agriculture Year (Jul - Jun), 2018",34368,340,1906,3849,2772,791,2985,535,391,20799,24344,3545
144,India,1,Jammu And Kashmir,623,Bandipora,2019,"Agriculture Year (Jul - Jun), 2019",34368,330,1906,3849,2773,241,1085,1056,2300,20828,24371,3543
145,India,1,Jammu And Kashmir,624,Samba,2011,"Agriculture Year (Jul - Jun), 2011",83095,10445,7932,18378,2572,1242,8808,126,5198,28394,60604,32210
146,India,1,Jammu And Kashmir,624,Samba,2012,"Agriculture Year (Jul - Jun), 2012",83095,10445,7932,18378,2572,1242,10799,126,3236,28365,60610,32245
147,India,1,Jammu And Kashmir,624,Samba,2013,"Agriculture Year (Jul - Jun), 2013",83095,10445,7932,18378,2572,1242,10799,126,3144,28457,61477,33020
148,India,1,Jammu And Kashmir,624,Samba,2014,"Agriculture Year (Jul - Jun), 2014",83095,10445,7932,18378,104,1028,10619,91,6913,27585,61371,33786
149,India,1,Jammu And Kashmir,624,Samba,2015,"Agriculture Year (Jul - Jun), 2015",83095,10445,7932,18378,104,1028,10619,146,326,34117,67358,33241
150,India,1,Jammu And Kashmir,624,Samba,2016,"Agriculture Year (Jul - Jun), 2016",83098,10338,7932,18378,977,1028,10386,91,1323,32645,64718,32073
151,India,1,Jammu And Kashmir,624,Samba,2017,"Agriculture Year (Jul - Jun), 2017",83098,10288,7932,18378,977,1028,10680,34,921,32860,64693,31833
152,India,1,Jammu And Kashmir,624,Samba,2018,"Agriculture Year (Jul - Jun), 2018",83098,9828,7932,18378,977,106,10677,34,2765,32401,63595,31194
153,India,1,Jammu And Kashmir,624,Samba,2019,"Agriculture Year (Jul - Jun), 2019",83095,9828,9683,18378,977,106,10499,88,868,32668,59674,27006
154,India,1,Jammu And Kashmir,625,Shopian,2011,"Agriculture Year (Jul - Jun), 2011",36834,249,3944,1756,2983,335,1831,67,6105,19564,25207,5643
155,India,1,Jammu And Kashmir,625,Shopian,2012,"Agriculture Year (Jul - Jun), 2012",36834,263,3944,1756,2983,862,1831,67,5564,19564,25207,5643
156,India,1,Jammu And Kashmir,625,Shopian,2013,"Agriculture Year (Jul - Jun), 2013",36834,263,3944,1756,2983,862,1831,67,5564,19564,25207,5643
157,India,1,Jammu And Kashmir,625,Shopian,2014,"Agriculture Year (Jul - Jun), 2014",36834,263,3944,1756,2983,966,1831,67,5564,19460,21153,1693
158,India,1,Jammu And Kashmir,625,Shopian,2015,"Agriculture Year (Jul - Jun), 2015",36834,263,3944,1756,2983,966,1831,273,6135,18683,20177,1494
159,India,1,Jammu And Kashmir,625,Shopian,2016,"Agriculture Year (Jul - Jun), 2016",36521,263,3944,1756,2983,335,1831,273,10885,14251,15812,1561
160,India,1,Jammu And Kashmir,625,Shopian,2017,"Agriculture Year (Jul - Jun), 2017",36521,263,3944,1756,2983,335,1831,273,10885,14251,15812,1561
161,India,1,Jammu And Kashmir,625,Shopian,2018,"Agriculture Year (Jul - Jun), 2018",31102,263,3944,1756,2983,335,1831,67,1356,18567,20129,1562
162,India,1,Jammu And Kashmir,625,Shopian,2019,"Agriculture Year (Jul - Jun), 2019",36521,263,3944,1756,2983,520,2252,61,5371,19371,20009,638
163,India,1,Jammu And Kashmir,626,Ganderbal,2011,"Agriculture Year (Jul - Jun), 2011",39304,988,5909,3161,1790,1378,2478,3901,5901,13798,18691,4893
164,India,1,Jammu And Kashmir,626,Ganderbal,2012,"Agriculture Year (Jul - Jun), 2012",39304,988,5909,3161,1790,1378,2478,3901,5901,13798,18691,4893
165,India,1,Jammu And Kashmir,626,Ganderbal,2013,"Agriculture Year (Jul - Jun), 2013",39304,988,5909,3161,1790,1378,2478,3901,5900,13799,18692,4893
166,India,1,Jammu And Kashmir,626,Ganderbal,2014,"Agriculture Year (Jul - Jun), 2014",39304,988,3161,3161,1790,1378,2478,6735,5900,13713,18691,4978
167,India,1,Jammu And Kashmir,626,Ganderbal,2015,"Agriculture Year (Jul - Jun), 2015",39304,988,3161,3161,1790,1378,2478,5489,7225,13634,19505,5871
